INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,NUM_INVOLVED_AGENCIES
URSUS-07-1100-2018-0a4,CA0071100,4/1/2018,0:40,SAN PABLO,CONTRA COSTA,CA,94806,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,1
URSUS-07-1100-2018-ae3,CA0071100,12/6/2018,10:23,SAN PABLO,CONTRA COSTA,CA,94806,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,5,1
URSUS-07-1100-2018-b9d,CA0071100,7/4/2018,4:44,SAN PABLO,CONTRA COSTA,CA,94806,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,1
URSUS-07-1400-2018-45c,CA0071400,5/28/2018,21:17,MARTINEZ,CONTRA COSTA,CA,94553,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-07-3400-2018-774,CA0073400,8/31/2018,22:00,OAKLEY,CONTRA COSTA,CA,94561,FALSE,FALSE,FALSE,TRUE,welfare_check,,1,1,1
URSUS-08-0000-2018-004,CA0080000,1/22/2018,9:35,CRESCENT CITY,DEL NORTE,CA,95531,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-09-0200-2018-493,CA0090200,10/29/2018,12:53,SOUTH LAKE TAHOE,EL DORADO,CA,96150,FALSE,FALSE,FALSE,TRUE,pre_planned,,1,2,1
URSUS-10-0000-2018-5e9,CA0100000,11/25/2018,21:53,SQUAW VALLEY,FRESNO,CA,93675,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-10-0100-2018-596,CA0100100,1/11/2018,23:57,CLOVIS,FRESNO,CA,93612,FALSE,FALSE,TRUE,TRUE,consensual,,2,8,1
URSUS-10-0100-2018-cef,CA0100100,12/28/2018,18:52,CLOVIS,FRESNO,CA,93612,FALSE,FALSE,TRUE,TRUE,in_progress,,1,3,1
URSUS-10-0100-2018-d2f,CA0100100,8/7/2018,17:16,CLOVIS,FRESNO,CA,93619,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,4,1
URSUS-10-0500-2018-60a,CA0100500,3/8/2018,19:45,FRESNO,FRESNO,CA,93721,FALSE,FALSE,FALSE,TRUE,in_custody_event,awaiting_booking,1,5,1
URSUS-10-0500-2018-82c,CA0100500,1/13/2018,0:16,FRESNO,FRESNO,CA,93704,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,1
URSUS-10-0500-2018-918,CA0100500,8/14/2018,11:32,FRESNO,FRESNO,CA,93727,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,5,1
URSUS-10-0500-2018-95a,CA0100500,2/27/2018,22:05,FRESNO,FRESNO,CA,93710,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,1
