INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,PRIMARY_AGENCY_INDICATOR
URSUS-19-2400-2017-5ad,CA0192400,5/15/2017,10:43,LOS ANGELES,LOS ANGELES,CA,90061,FALSE,FALSE,TRUE,TRUE,in_progress,,2,1,*
URSUS-19-2400-2017-8b4,CA0192400,10/16/2017,8:16,GARDENA,LOS ANGELES,CA,90247,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-19-2400-2017-b85,CA0192400,5/1/2017,9:55,GARDENA,LOS ANGELES,CA,90249,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-19-2400-2017-fd2,CA0192400,2/16/2017,22:30,GARDENA,LOS ANGELES,CA,90247,TRUE,FALSE,FALSE,TRUE,in_progress,,1,3,*
URSUS-19-2500-2017-e97,CA0192500,10/6/2017,13:00,DUARTE,LOS ANGELES,CA,91010,FALSE,FALSE,TRUE,TRUE,pre_planned,,2,1,*
URSUS-19-2800-2017-009,CA0192800,4/2/2017,8:36,HAWTHORNE,LOS ANGELES,CA,90260,FALSE,TRUE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-19-2800-2017-51b,CA0192800,5/23/2017,19:08,HAWTHORNE,LOS ANGELES,CA,90250,FALSE,FALSE,FALSE,TRUE,vehicle_bike_pedestrian,,1,1,*
URSUS-19-2800-2017-5b9,CA0192800,6/29/2017,8:51,HAWTHORNE,LOS ANGELES,CA,90250,FALSE,TRUE,TRUE,TRUE,call_for_service,,,3,URSUS-19-4200-2017-027
URSUS-19-3800-2017-c32,CA0193800,9/23/2017,3:19,LA VERNE,LOS ANGELES,CA,91750,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,*
URSUS-19-4100-2017-074,CA0194100,1/15/2017,11:22,LONG BEACH,LOS ANGELES,CA,90822,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,*
URSUS-19-4100-2017-0e5,CA0194100,4/25/2017,6:41,BELLFLOWER,LOS ANGELES,CA,90706,FALSE,FALSE,FALSE,TRUE,vehicle_bike_pedestrian,,1,4,*
