id,date,number_of_shots,city_id,county_id,fatality,injury,suspect_mentally_ill
526,2/13/2013,,189,,1,0,t
965,7/31/2013,3,47,,1,0,f
1010,7/18/2009,,179,,0,1,
1125,4/13/2014,,29,,0,1,f
164,6/28/2012,3,400,,1,0,f
297,10/26/2011,4,261,,0,1,f
273,3/11/2009,,105,,0,1,f
529,9/4/2009,4,300,,1,0,f
1031,3/14/2011,1,383,,0,1,f
941,8/9/2012,,121,,1,0,f
1082,9/1/2009,,23,,0,1,t
1007,3/9/2009,6,,41,1,0,f
734,1/7/2014,2,25,,1,0,t
264,3/10/2009,,258,,0,1,f
89,3/15/2012,9,31,,1,0,f
997,4/6/2012,,13,,1,0,f
241,7/18/2012,5,26,,1,0,f
974,12/29/2014,18,151,,1,0,f
879,4/15/2010,,119,,0,1,f
1080,3/17/2009,,,30,0,1,f
325,2/5/2010,,24,,0,1,f
223,3/2/2009,8,45,,1,0,t
1006,3/9/2009,,157,,1,1,f
729,9/26/2012,2,24,,1,0,t
85,11/26/2013,3,128,,1,0,f
993,8/12/2014,1,120,,0,1,f
1079,4/21/2009,3,24,,0,1,t
234,12/23/2012,6,45,,0,1,t
58,5/7/2013,4,25,,1,0,f
1067,9/22/2010,,29,,1,0,f
786,2/8/2009,1,182,,1,0,f
84,9/28/2009,,231,,1,0,f
629,11/3/2010,5,83,,0,1,f
149,12/16/2012,,45,,1,0,f
992,5/8/2013,10,18,,0,1,t
781,2/5/2009,,182,,1,0,f
154,8/2/2010,,232,,1,0,f
218,12/11/2013,,151,,1,0,f
622,7/27/2010,1,220,,0,1,f
1121,11/18/2013,7,128,,0,1,f
511,1/8/2009,13,159,,1,0,f
1144,10/5/2011,,46,,0,2,f
689,1/22/2014,1,126,,0,1,t
599,12/3/2010,5,83,,1,0,f
991,2/4/2014,2,90,,1,0,t
775,1/4/2009,,182,,0,1,f
360,10/20/2012,,232,,1,0,t
736,4/5/2011,,29,,1,0,f
920,3/29/2014,5,125,,0,1,f
988,3/11/2014,7,,32,1,0,f
